ID	MA1	MA4	MA6	MA7	MA13	MA26	MA34	Y5	Y7	Y8	Y9	Y13
7.19_494.3223m/z	58450.86758	60716.2127	24699.92928	112169.8113	59743.15707	57172.30084	60185.75216	85934.29836	87174.17419	130242.2602	139553.9517	134963.1888
9.20_511.2713m/z	1.27646E-06	3166.927457	2206.138871	35.25620492	11298.10075	1580.429429	8723.912462	17539.90182	18857.00117	68133.36088	125302.0358	93166.46658
5.04_291.1159m/z	142281.9137	160597.217	181164.1199	140546.8197	172717.8607	157292.3929	226888.1857	105522.0639	102758.6723	134420.8835	98018.40035	134229.6098
5.87_374.3624m/z	12199.88147	38400.3313	1.27646E-06	33057.33782	6601.030174	14145.5047	38169.03738	63949.97041	65569.99564	173468.3206	137117.8143	1.27646E-06
9.33_458.2895m/z	26.15212725	1568.835218	76.78916653	131.958248	154.0196984	1647.3975	127.8180846	76655.80224	33467.26286	56216.23402	12591.46594	103227.8324
7.79_587.2379m/z	1.27646E-06	1.27646E-06	18993.32366	8969.685495	1.27646E-06	1105.984355	1.27646E-06	26436.25529	19356.17446	22987.15734	62909.61693	145544.2868
8.96_708.3764m/z	65407.93736	59128.46178	75767.84823	75647.69591	137721.9715	75257.96646	124891.8446	195676.3498	197376.5074	139882.9611	123137.8358	122314.5479
6.51_649.2746m/z	120389.4048	161504.6393	231051.8745	118112.1148	194807.2549	69531.56481	94024.58537	24480.01987	78164.13711	21882.2544	17813.07097	151709.2162
5.86_408.2737m/z	106361.0361	125817.7225	85799.88209	133897.6156	179173.0732	204835.1303	163595.2639	67820.51954	71907.02378	90497.9861	89376.35585	87295.88332
9.26_354.2917n	99707.76752	71349.03544	35193.13976	82809.14632	39388.86347	81902.78477	41509.90195	19973.16006	13432.45193	13369.07256	15689.66917	17479.87327
4.02_246.1699m/z	89002.73122	119595.2706	66757.70152	113513.4321	94638.3327	135147.3286	91831.52492	76719.66133	36768.37944	42645.1531	45616.28288	53685.14942
1.45_683.2160m/z	1.27646E-06	1.27646E-06	1.27646E-06	1.27646E-06	1.27646E-06	1.27646E-06	1.27646E-06	114242.8425	64284.73849	15077.74851	68499.84852	3453.00904
0.74_169.0738n	206369.6044	229211.7979	216135.7618	186249.2999	302335.5339	294449.82	328639.8187	268221.2445	341651.8681	372958.5718	360871.0614	311400.1756
8.45_587.2381m/z	1.27646E-06	1.27646E-06	30077.26604	18199.29054	1.27646E-06	1.27646E-06	1.27646E-06	96556.46531	63259.86959	14895.56875	24696.3476	210402.5813
7.63_403.2474m/z	113244.646	106434.6365	78213.48719	56439.4845	131921.4097	97629.96534	128278.4557	44248.49827	37726.00731	74339.90253	57857.74601	56614.66608
6.86_397.2041m/z	874.4803168	4639.040189	8490.282087	1593.213399	9748.332418	509.9633752	36297.73741	33581.90411	30997.92595	27709.53712	190812.7623	149843.6812
10.23_538.3913m/z	95310.61988	166117.3875	121044.2271	80681.86174	184739.48	156809.049	125151.2863	61165.88436	53383.19729	65044.04942	56728.62577	86058.16713
8.83_489.3205m/z	108875.2908	143205.6525	132027.3936	102321.3817	156582.6977	126916.6985	123088.0041	66221.36301	55613.22831	88011.94343	67081.52084	83968.60628
3.60_174.0913m/z	5169.804174	20865.88338	11212.33603	8519.841977	37218.9693	6111.043458	14038.63472	83776.25411	102225.3256	45354.9142	31364.91066	55294.1952
5.85_277.1432m/z	100336.4447	67293.57981	102183.9752	57082.15505	112311.4604	93102.32848	168593.332	62216.07312	55259.6733	35194.9858	36631.71316	44441.21273
5.09_119.0857m/z	76337.16511	58404.01114	49718.68526	53899.81601	71152.14681	86882.64387	60884.46126	24450.79944	8173.061463	10808.33649	10260.66689	9169.871761
2.92_368.1196m/z	563.7409417	1124.732268	50259.57841	28940.57699	4194.186935	15701.07287	23735.88603	68074.66737	94712.83659	50731.54361	37690.27603	82621.20884
8.38_221.1532m/z	139460.5271	103225.4898	71385.21365	94472.60502	118375.1103	89458.64668	98532.70596	65171.18917	71081.23052	47878.41644	38143.62332	65052.73689
8.43_841.6164m/z	7735.229161	13743.45424	1.27646E-06	18747.60156	2911.444785	1.27646E-06	1.27646E-06	62435.54138	44968.82904	20913.57179	59738.80277	46055.30767
6.24_346.1646m/z	82467.77684	99777.20981	51514.81068	112251.9	85074.15347	119542.7258	84609.97752	83126.67851	21762.7433	18775.64176	30501.34199	44135.92006
4.13_254.1265n	265137.9941	158983.0072	150772.4916	184239.6386	145893.5849	183808.5476	182353.566	259416.8108	249799.6075	187659.5161	277695.396	201563.4127
7.67_361.2734m/z	109186.9353	114980.7807	60753.47031	167728.5459	115998.1263	107047.1053	54769.47176	52403.31099	46105.74702	52717.28388	25688.22242	39037.72931
10.17_459.3467m/z	216607.8086	224092.909	257469.5841	180208.6395	257899.5053	298080.8661	228552.0549	245168.8244	171124.6476	146579.4446	107875.6538	211393.6209
7.63_566.3501m/z	85681.95587	113434.5943	74318.0341	29028.69132	129089.4534	90666.70515	159669.9364	20834.25094	13701.68975	31183.64358	43511.07963	51751.27425
10.30_661.5242m/z	11770.87676	64340.5348	152412.2585	39063.13863	19187.18378	61675.89403	24836.5365	987.7227714	1.27646E-06	2218.673791	1.27646E-06	1687.339452
6.30_378.2633m/z	193814.1713	195434.9723	120797.7122	175441.9301	149312.2715	242049.5456	122157.6608	109014.0984	92548.58424	111434.5256	123798.7672	115518.7025
10.06_494.3833m/z	106686.5013	127151.5321	96653.61905	92232.32066	144397.7598	129336.3881	111232.2961	54363.47639	52171.07931	77140.51495	62277.75075	104395.176
4.63_216.1513n	440.6190226	43823.23367	1222.119403	29567.33877	806.9803904	13045.14144	26186.97348	65749.80705	55846.44128	33793.51172	57552.39756	99519.27018
5.09_162.1044n	66016.33936	48691.29144	42859.38518	46412.91332	60912.05541	78685.78463	55190.64225	21936.40185	9406.939964	11144.86362	9346.305158	10758.07898
4.45_391.1859m/z	206145.1272	195361.9627	92275.28478	170915.3362	176195.0571	236220.6337	316392.5982	132372.6934	71638.81596	87120.49037	161626.4341	108318.5155
8.97_425.3041m/z	101074.1221	103600.7349	132846.9694	116359.2003	180899.8346	144135.9897	141390.5512	199179.6198	205237.6323	191033.5426	145885.7417	249087.8458
6.52_385.2367m/z	121536.1634	143446.8437	87929.13255	64302.38309	135165.7182	128712.1382	118945.7774	35793.33043	44857.55224	72757.63624	64617.81946	65656.01728
10.09_301.2521m/z	3090.289366	6765.994744	897.03248	4293.792005	2552.265125	7604.124125	2897.162141	68003.13467	8257.37867	25965.93583	57152.14561	104083.6242
8.41_436.3329n	170894.7873	215287.3053	237350.9492	237349.5147	270235.0787	208548.5672	261848.2275	158915.7197	160902.9492	144150.3978	139694.0959	257526.4079
3.71_824.8086m/z	1.27646E-06	1.27646E-06	1.27646E-06	1.27646E-06	1.27646E-06	1.27646E-06	1.27646E-06	99016.71753	133061.9492	8382.35644	4719.968513	20902.91051
8.14_396.2741m/z	252301.9596	275609.5569	342669.5719	286689.2116	335250.626	298565.877	312024.901	255127.924	268550.4594	214677.3589	215850.4079	277452.8068
6.65_425.2894m/z	204061.3465	189270.4866	109655.639	104603.7853	187727.2804	162963.3323	202023.6144	90838.89869	89490.89993	132008.3467	89804.42252	112065.7533
7.85_401.2682m/z	89062.61644	98099.8323	107969.837	108183.2665	204595.3996	65100.93164	89240.75154	53231.72136	60118.5101	47055.90974	49160.94594	55968.7505
6.70_366.2635m/z	133414.9173	159470.4373	102762.6421	112016.1733	81984.63222	144187.4341	144572.1482	51629.43776	54480.10807	57103.99882	85984.85761	78902.85178
9.23_491.3358m/z	155141.8844	188873.8671	168613.6485	120878.4076	222397.8335	171435.869	174892.5293	101566.7427	96010.87725	129917.6715	89765.84428	139342.4846
7.49_489.3567m/z	200578.0719	260806.3695	274501.8591	244571.4572	268799.0107	247639.3559	267417.0249	155577.6412	145631.865	200177.4004	187476.9325	278841.1339
8.26_569.3324m/z	9.331582099	10859.24355	30000.55883	7.977162684	20864.27424	15216.18416	23805.31773	60152.4243	76767.94559	37014.78735	56393.31365	37342.05863
7.68_235.1689m/z	20145.60416	30623.8741	49773.94677	42839.58555	45375.17654	33294.48155	32449.92418	58836.04584	58723.83141	77647.77852	85740.7159	109868.2069
8.76_378.3516n	94246.54329	107963.0477	101799.2326	106519.1188	119811.3796	98944.69609	108651.4782	148863.4828	133664.9885	136373.8711	131003.2349	274358.1538
8.78_469.2944m/z	42687.34535	96556.31159	110628.7443	46356.82957	72068.55884	83245.4477	51543.57169	25730.15682	17781.00939	30222.36445	15669.04615	17804.69294
9.16_292.1907m/z	1102.837418	1658.521446	2388.321391	6387.745721	2915.634352	2453.130362	2105.112208	25398.16611	31895.78829	66223.983	51758.75776	115665.517
7.25_445.3305m/z	98158.04355	138943.0479	66053.32946	101576.1276	213206.0007	110623.1896	97684.20096	65756.20572	65999.58458	63710.4869	59257.20079	57204.55518
